group	name	return_type	params	xml_func_index	handler_va	funcset	in_binary
AI Building Placement	place_building	int_return	who who;build_type build_type;city_name city_name	385	009f5270	ScenarioFuncSet	yes
AI Building Placement	place_building_upgrade	int_return	who who;build_type build_type;city_name city_name	387	009f5380	ScenarioFuncSet	yes
AI Building Placement	place_building_upgrade_with_cost	int_return	who who;build_type build_type;city_name city_name	391	009f5680	ScenarioFuncSet	yes
AI Building Placement	place_building_with_cost	int_return	who who;build_type build_type;city_name city_name	389	009f54a0	ScenarioFuncSet	yes
AI Building Placement	place_city_with_cost	int_return	who who	393	009f5860	ScenarioFuncSet	yes
AI Building Placement	place_orphan_building	int_return	who who;build_type build_type;build_o build_o	386	009f52f0	ScenarioFuncSet	yes
AI Building Placement	place_orphan_building_upgrade	int_return	who who;build_type build_type;build_o build_o	388	009f5400	ScenarioFuncSet	yes
AI Building Placement	place_orphan_building_upgrade_with_cost	int_return	who who;build_type build_type;build_o build_o	392	009f5700	ScenarioFuncSet	yes
AI Building Placement	place_orphan_building_with_cost	int_return	who who;build_type build_type;build_o build_o	390	009f5520	ScenarioFuncSet	yes
Audio	play_sound	int_return	sound sound	32	00a02f50	ScenarioFuncSet	yes
Audio	play_sound_to	int_return	who who;sound sound	33	009e3c50	ScenarioFuncSet	yes
Audio	set_music_mood	int_return	mood mood;bool bool_immediately	36	009e3cc0	ScenarioFuncSet	yes
Audio	set_music_volume	void	percent percent	31	009e3c40	ScenarioFuncSet	yes
Audio	sound_finished	int_return		35	009e3c80	ScenarioFuncSet	yes
Audio	stop_sound	void		34	009e3c60	ScenarioFuncSet	yes
Building Info	building_active	int_return	who who;build_o build_o	302	009f1ea0	ScenarioFuncSet	yes
Building Info	building_destroyed	int_return	who who;build_o build_o	300	009f1d80	ScenarioFuncSet	yes
Building Info	building_full	int_return	who who;object_o object_o	308	009f2360	ScenarioFuncSet	yes
Building Info	building_started	int_return	who who;build_o build_o	303	009f1f20	ScenarioFuncSet	yes
Building Info	building_type_destroyed	num	who who;build_type build_type	301	009f1df0	ScenarioFuncSet	yes
Building Info	clear_build_queue	int_return	who who;build_o build_o;bool bool_unpay_cost	312	009f27e0	ScenarioFuncSet	yes
Building Info	get_rally_x	x	who who;build_o build_o	305	009f20c0	ScenarioFuncSet	yes
Building Info	get_rally_y	y	who who;build_o build_o	306	009f21a0	ScenarioFuncSet	yes
Building Info	is_city	int_return	who who;build_o build_o	299	009f1cf0	ScenarioFuncSet	yes
Building Info	is_civilian_building	int_return	who who;build_o build_o	298	009f1c30	ScenarioFuncSet	yes
Building Info	is_military_building	int_return	who who;build_o build_o	297	009f1b70	ScenarioFuncSet	yes
Building Info	is_rally_set	int_return	who who;build_o build_o	304	009f1fa0	ScenarioFuncSet	yes
Building Info	max_workers_at_building	num	who who;build_o build_o	310	009f2520	ScenarioFuncSet	yes
Building Info	num_garrisoned_in	num	who who;object_o object_o	307	009f2280	ScenarioFuncSet	yes
Building Info	num_type_queued	num	who who;build_o build_o;unit_type unit_type	311	009f25e0	ScenarioFuncSet	yes
Building Info	num_workers_at_building	num	who who;build_o build_o	309	009f2450	ScenarioFuncSet	yes
Camera	center_camera_on	int_return	who who;object_o object_o	549	009fdc80	ScenarioFuncSet	yes
Camera	get_camera_x	x		554	009fdfb0	ScenarioFuncSet	yes
Camera	get_camera_y	y		555	009fdfe0	ScenarioFuncSet	yes
Camera	get_current_zoom	num		553	009fdf90	ScenarioFuncSet	yes
Camera	is_camera_panning	int_return		552	009fdf80	ScenarioFuncSet	yes
