va	kind	off	aliases	symbol	type	mentions	docs
0x00000000	NONE	+0	0			10	rng.md
0x00000001	NONE	+0	0			5	replay-checksum.md,rng.md
0x0000001a	NONE	+0	0			1	replay-io.md
0x00000121	NONE	+0	0			1	replay-io.md
0x00000191	NONE	+0	0			2	AUDIT-replay.md,replay-stream.md
0x00000750	NONE	+0	0			1	replay-stream.md
0x00001571	NONE	+0	0			1	rng.md
0x00003039	NONE	+0	0			1	rng.md
0x00063637	NONE	+0	0			8	pathfinding.md,provenance-ledger.md
0x000fa439	NONE	+0	0			1	replay-stream.md
0x000fa52b	NONE	+0	0			1	replay-stream.md
0x0019660d	NONE	+0	0			1	rng.md
0x00400000	NONE	+0	0			6	README-LLM.md,economy.md,pathfinding.md,provenance-ledger.md,replay-io.md,sim-economy.md
0x004031af	PROC	+31	1	`dynamic initializer for 'unittypes''	void ()	1	live-tables.md
0x004031ff	PROC	+31	1	`dynamic initializer for 'buildtypes''	void ()	1	live-tables.md
0x0040324f	PROC	+31	1	`dynamic initializer for 'techtypes''	void ()	1	live-tables.md
0x0041bfe0	PROC	+0	38	Buffer::set_pending_load	void Buffer::(int)	4	checksum.md,provenance-ledger.md
0x0041bff0	PROC	+0	186	AirAttackGroundOrder::is_attack	int AirAttackGroundOrder::()	1	pathfinding.md
0x0042d9e0	PROC	+0	1	String::num	int String::(int)	5	economy.md,provenance-ledger.md
0x0042da30	PROC	+0	1	Log::say	void Log::(const String&, int)	1	economy.md
0x0042e490	PROC	+0	1	Array<UnitType *>::~Array<UnitType *>	void Array<UnitType *>::()	1	live-tables.md
0x0043cee0	PROC	+0	1	GameLog::say	void GameLog::(const String&, co...	1	economy.md
0x0043d730	PROC	+0	1	SaveGame::walk_function	void SaveGame::(void*, void*)	5	checksum.md,provenance-ledger.md,replay-io.md
0x0043d840	PROC	+0	1	SaveGame::walk_test	void SaveGame::(const String&)	4	replay-format.md,replay-io.md
0x0043d875	PROC	+53	1	SaveGame::walk_test	void SaveGame::(const String&)	1	replay-io.md
0x0043d950	PROC	+0	1	LoadGame::walk_function	void LoadGame::(void*, void*)	4	checksum.md,provenance-ledger.md,replay-io.md
0x0043da60	PROC	+0	1	LoadGame::walk_test	void LoadGame::(const String&)	2	replay-io.md
0x00455560	PROC	+0	1	std::_Random_shuffle_unchecked<int *,std::_Rng_from_urng<int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> > >	void (int*, int*, std::_Rng_from...	1	rng.md
0x00456820	PROC	+0	1	std::_Rng_from_urng<int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::_Get_bits	unsigned std::_Rng_from_urng<int...	1	rng.md
0x00456890	PROC	+0	1	std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper	void std::mersenne_twister<unsig...	1	rng.md
0x004568e0	PROC	+0	1	std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower	void std::mersenne_twister<unsig...	1	rng.md
0x00458410	PROC	+240	1	MainMenuBase::MainMenuBase	void MainMenuBase::()	1	AUDIT-replay.md
0x0045e1d0	PROC	+0	1	GroupData::log_data	void GroupData::(Log*)	1	pdb-types.md
0x00463930	PROC	+0	1	SyncLogger::logToMemory<unsigned long &>	void SyncLogger::(const char*, i...	1	replay-checksum.md
0x0046cff0	PROC	+0	1	vector_dist	int (int, int)	10	AUDIT.md,pathfinding.md,provenance-ledger.md
0x0046d060	PROC	+0	1	vector_dist	int (const Coord&, const Coord&,...	2	pathfinding.md
0x0046d8b0	PROC	+0	1	Stack<PathData>::walk_data	void Stack<PathData>::(DataWalk*...	1	checksum.md
0x0046df30	PROC	+0	1	PtrArray<Guy>::walk_data	void PtrArray<Guy>::(DataWalk*, ...	1	checksum.md
0x0046e8c0	PROC	+0	1	Stack<PathData>::increase_size	int Stack<PathData>::(int)	1	pathfinding.md
0x0046f020	PROC	+0	1	vector_dist	int (int, int, int, int)	2	pathfinding.md
0x0046fa40	PROC	+0	1	UnitData::is_idle	int UnitData::()	2	sim-economy.md
0x00470780	PROC	+0	1	TypeData::is_wonder_type	int TypeData::()	1	checksum.md
0x00471710	PROC	+0	1	BuildQueueData::log_data	void BuildQueueData::(Log*)	1	pdb-types.md
0x00472400	PROC	+0	1	ObjectData::get_captain	int ObjectData::()	1	GOAL.md
0x00475af0	PROC	+0	1	ObjectsData::log_data	void ObjectsData::(Log*)	1	pdb-types.md
0x00479320	PROC	+0	1	PathFinder::`scalar deleting destructor'	void* PathFinder::(unsigned)	1	pathfinding.md
0x00479365	PROC	+69	1	PathFinder::`scalar deleting destructor'	void* PathFinder::(unsigned)	1	pathfinding.md
0x004793c1	PROC	+49	1	PathFinderOut::`scalar deleting destructor'	void* PathFinderOut::(unsigned)	1	pathfinding.md
0x004796f0	PROC	+0	1	Tree<PathNode *,int>::ordered_insert	void Tree<PathNode *,int>::(Path...	1	pathfinding.md
0x00479770	PROC	+0	1	Tree<PathNode *,int>::remove_current	void Tree<PathNode *,int>::()	1	pathfinding.md
0x00479920	PROC	+0	1	BRTree<TreeNode<PathNode *,int> *,unsigned long>::ordered_insert	void BRTree<TreeNode<PathNode *,...	1	pathfinding.md
0x00479b90	PROC	+0	3	BRTree<PathNode *,unsigned long>::seek	int BRTree<PathNode *,unsigned l...	1	pathfinding.md
0x00479c00	PROC	+0	1	BRTree<PathNode *,unsigned long>::ordered_insert	void BRTree<PathNode *,unsigned ...	1	pathfinding.md
