type_id	name_internal	name_display	type	job_time	res_time	tribe_mask	cat	cost0	cost1	cost2	cost3	cost4	cost5	preq0	preq1	preq2	from	where	upgrade	jump	obs	show0	show1	modified	grid_x	grid_y	obj_masks	attack	to_hit	attenuate	recharge	min_range	max_range	splash_area	splash_percent	ammo_per_att	proj_speed	hits	armor	domain	los	science_los	guy_spacing	x_spacing	y_spacing	abil	x_size	y_size	guy_radius	block_radius	big_radius	new_block_radius	new_big_radius	fly_high	fly_low	block_points	graft	special_upgrade	special_upgrade_cost	support0	support1	support_cost0	support_cost1	age	town_hits	min_city_size	misery_rate	build_flags	most_shots	garrison_max	base_arrows	wonder_val	plunder_value	plunder_good	behind_height	civ_graph_mask
414	VILLAGE	Small City	414	600	600	16777215	0	1	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	1	0	131072	80	300	-3	30	0	10	0	100	1	200	1200	3	0	12	2	0	-1	-1	-1	7	7	0	0	0	0	0	0	0	0	-1	-1	0	0	1	50	50	0	0	0	0	2751471633	2	10	0	0	0	2	2	0
415	CITY	Large City	415	600	600	16777215	0	2	2	0	0	0	0	545	-1	-1	414	414	-1	-1	-2	-2	-2	0	1	0	131072	90	300	-3	30	0	10	0	100	1	200	2500	5	0	14	2	0	-1	-1	-1	7	7	0	0	0	0	0	0	0	0	-1	-1	0	0	1	50	50	2	0	0	0	2214600721	3	15	0	0	0	2	3	0
416	METROPOLIS	Major City	416	600	600	16777215	0	5	5	0	0	0	0	548	-1	-1	415	415	-1	-1	-2	-2	-2	0	1	0	64	110	300	-3	30	0	10	0	100	1	300	5000	7	0	16	2	0	-1	-1	-1	7	7	0	0	0	0	0	0	0	0	-1	-1	0	0	1	50	50	5	0	0	0	67117073	4	20	0	0	0	2	4	0
417	FARM	Farm	417	150	150	16252927	0	0	4	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	1	0	0	0	0	0	0	0	0	100	0	200	400	0	0	6	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	1	-1	4	0	0	10	0	0	268435529	0	0	0	0	20	0	0	0
418	WOODCUTTER	Woodcutter's Camp	418	150	150	16777215	0	5	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	1	1	0	0	0	0	0	0	0	0	100	0	200	800	0	0	6	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	20	0	0	10	0	0	89	0	0	0	0	25	1	2	0
419	MINE	Mine	419	150	150	16777215	0	0	5	0	0	0	0	544	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	2	1	0	0	0	0	0	0	0	0	100	0	200	800	0	0	6	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	1	-1	20	0	1	10	0	0	89	0	0	0	0	30	4	2	0
420	UNIVERSITY	University	420	420	420	16777215	0	0	6	3	0	0	0	544	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	4	0	0	0	0	0	0	0	0	0	100	0	200	1200	0	0	6	0	0	-1	-1	-1	5	5	0	0	0	0	0	0	0	0	-1	-1	0	1	2	20	20	1	10	0	0	2281701961	0	0	0	0	30	2	3	0
421	OILWELL	Oil Well	421	420	420	16777215	0	0	10	0	0	5	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	3	1	0	0	0	0	0	0	0	0	100	0	200	800	0	0	6	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	1	4	15	15	5	10	0	0	268435545	0	0	0	0	75	5	1	0
422	OILPLATFORM	Oil Platform	422	420	420	16777215	0	0	10	0	0	5	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	3	1	8388608	0	50	0	0	0	0	0	100	0	200	800	3	1	6	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	4	1	20	20	5	10	0	0	268435794	0	0	0	0	75	5	5	0
423	GRANARY	Granary	423	1000	1000	16252927	0	0	6	4	0	0	0	552	544	-1	-1	-1	-1	-1	-2	-2	-2	0	0	2	0	0	0	0	0	0	0	0	100	0	200	1000	3	0	6	0	0	-1	-1	-1	5	5	0	0	0	0	0	0	0	0	-1	-1	0	1	2	40	0	1	20	0	0	134218241	0	0	0	0	75	0	2	0
424	LUMBERMILL	Lumber Mill	424	1000	1000	16777215	0	6	0	0	0	4	0	552	544	-1	-1	-1	-1	-1	-2	-2	-2	0	1	2	0	0	0	0	0	0	0	0	100	0	200	1000	3	0	6	0	0	-1	-1	-1	5	5	0	0	0	0	0	0	0	0	-1	-1	0	4	0	40	0	1	20	0	0	134218241	0	0	0	0	75	1	3	0
