class	global_va	list_object_va	count_field	nonnull	id_ranges
GoodType	0x00C096E4	0x00C096E4	806	50	0-49
UnitType	0x00C0A264	0x00C0A264	806	364	50-413
BuildType	0x00C0AA90	0x00C0AA90	806	129	414-542
ItemType	0x00C0AAC8	0x00C0AAC8	806	1	543-543
TechType	0x00C0AAAC	0x00C0AAAC	806	85	544-628
SpellType	0x00C0AB00	0x00C0AB00	806	55	629-683
BonusType	0x00C0AB1C	0x00C0AB1C	806	122	684-805
GovType	0x00C0AB38	0x00C0AB38	806	0	
TypeBak	0x00C0AB54	0x00C0AB54	806	566	50-401;414-542;544-628
ObjectType	0x00C0AAE4	0x00C0AAE4	806	544	0-543
