type_id	name_internal	name_display	type	job_time	res_time	tribe_mask	cat	cost0	cost1	cost2	cost3	cost4	cost5	preq0	preq1	preq2	from	where	upgrade	jump	obs	show0	show1	modified	grid_x	grid_y	obj_masks	attack	to_hit	attenuate	recharge	min_range	max_range	splash_area	splash_percent	ammo_per_att	proj_speed	hits	armor	domain	los	science_los	guy_spacing	x_spacing	y_spacing	abil	x_size	y_size	guy_radius	block_radius	big_radius	new_block_radius	new_big_radius	fly_high	fly_low	block_points	graft	special_upgrade	special_upgrade_cost	support0	support1	support_cost0	support_cost1	age
0	Food	Food	0	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
1	Timber	Timber	1	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
2	Wealth	Wealth	2	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
3	Knowledge	Knowledge	3	0	0	4294967295	0	0	0	0	0	0	0	544	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
4	Metal	Metal	4	0	0	4294967295	0	0	0	0	0	0	0	544	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
5	Oil	Oil	5	0	0	4294967295	0	0	0	0	0	0	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
6	Fish	Fish	6	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
7	Relics	Relics	7	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
8	Wine	Wine	8	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
9	Papyrus	Papyrus	9	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
