type_id	name_internal	name_display	type	job_time	res_time	tribe_mask	cat	cost0	cost1	cost2	cost3	cost4	cost5	preq0	preq1	preq2	from	where	upgrade	jump	obs	show0	show1	modified	grid_x	grid_y	age
544		Classical Age	544	400	400	16777215	3	25	0	0	0	0	0	-1	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	0
545		Medieval Age	545	550	550	16777215	3	25	0	0	25	0	0	544	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	1
546		Gunpowder Age	546	700	700	16777215	3	50	0	0	50	0	0	545	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	2
547		Enlightenment Age	547	850	850	16777215	3	50	0	0	100	0	0	546	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	3
548		Industrial Age	548	1000	1000	16777215	3	75	0	0	150	0	0	547	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	4
549		Modern Age	549	1150	1150	16777215	3	0	0	0	250	0	100	548	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	5
550		Information Age	550	1300	1300	16777215	3	0	0	0	375	0	150	549	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	1	6
551		Written Word	551	200	200	16777215	3	0	12	5	0	0	0	-1	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	0
552		Mathematics	552	275	275	16777215	3	0	0	12	8	0	0	551	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	1
553		Chemistry	553	350	350	16777215	3	0	0	20	16	0	0	552	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	2
554		Laws of Nature	554	425	425	16777215	3	0	0	30	30	0	0	553	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	3
555		Electricity	555	500	500	16777215	3	0	0	50	50	0	0	554	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	4
556		Electronics	556	575	575	16777215	3	0	0	90	90	0	0	555	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	5
557		Computerization	557	650	650	16777215	3	0	0	150	150	0	0	556	-1	-1	-1	435	-1	-1	-2	-2	-2	0	0	2	6
558		Barter	558	200	200	16777215	2	6	6	0	0	0	0	-1	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	0
559		Coinage	559	275	275	16777215	2	0	6	0	14	0	0	558	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	1
560		Trade	560	350	350	16777215	2	0	10	0	26	0	0	559	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	2
561		Mercantilism	561	425	425	16777215	2	0	15	0	50	0	0	560	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	3
562		Finance	562	500	500	16777215	2	0	25	0	90	0	0	561	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	4
563		Assembly Line	563	575	575	16777215	2	0	50	0	130	0	0	562	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	5
564		Globalization	564	650	650	16777215	2	0	120	0	180	0	0	563	-1	-1	-1	435	-1	-1	-2	-2	-2	0	1	2	6
565		City State	565	200	200	16777215	1	12	0	0	0	0	0	-1	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	0
566		Empire	566	275	275	16777215	1	16	0	0	0	0	0	565	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	1
567		Feudalism	567	350	350	16777215	1	16	0	0	16	0	0	566	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	2
568		Divine Right	568	425	425	16777215	1	30	0	0	30	0	0	567	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	3
569		Constitution	569	500	500	16777215	1	50	0	0	50	0	0	568	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	4
570		Great Power	570	575	575	16777215	1	80	0	0	100	0	0	569	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	5
571		International Law	571	650	650	16777215	1	150	0	0	150	0	0	570	-1	-1	-1	435	-1	-1	-2	-2	-2	0	2	2	6
572		The Art of War	572	200	200	16777215	0	12	0	0	0	0	0	-1	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	0
573		Mercenaries	573	275	275	16777215	0	10	0	0	0	10	0	572	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	1
574		Standing Army	574	350	350	16777215	0	0	0	0	16	20	0	573	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	2
575		Conscription	575	425	425	16777215	0	0	0	0	36	25	0	574	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	3
