type_id	class	name_display	name_internal	obj_ptr
0	GoodType	Food	Food	0x22573384
1	GoodType	Timber	Timber	0x225736AC
2	GoodType	Wealth	Wealth	0x22572094
3	GoodType	Knowledge	Knowledge	0x225739D4
4	GoodType	Metal	Metal	0x22573CFC
5	GoodType	Oil	Oil	0x2257305C
6	GoodType	Fish	Fish	0x22570754
7	GoodType	Relics	Relics	0x22570A7C
8	GoodType	Wine	Wine	0x22571A44
9	GoodType	Papyrus	Papyrus	0x22570DA4
10	GoodType	Dye	Dye	0x22571D6C
11	GoodType	Silk	Silk	0x225713F4
12	GoodType	Spice	Spice	0x225723BC
13	GoodType	Salt	Salt	0x22574024
14	GoodType	Horses	Horses	0x225726E4
15	GoodType	Rubber	Rubber	0x22572A0C
16	GoodType	Sulphur	Sulphur	0x22572D34
17	GoodType	Amber	Amber	0x16CB9CFC
18	GoodType	Silver	Silver	0x16CBC2DC
19	GoodType	Tobacco	Tobacco	0x16CBC92C
20	GoodType	Marble	Marble	0x16CBCC54
21	GoodType	Furs	Furs	0x16CBC604
22	GoodType	Cotton	Cotton	0x16CB96AC
23	GoodType	Bison	Bison	0x16CB99D4
24	GoodType	Copper	Copper	0x16CBAFEC
25	GoodType	Peacocks	Peacocks	0x16CBD2A4
26	GoodType	Citrus	Citrus	0x16CBA024
27	GoodType	Sugar	Sugar	0x16CBCF7C
28	GoodType	Diamonds	Diamonds	0x16CBA99C
29	GoodType	Gems	Gems	0x16CBA34C
30	GoodType	Aluminum	Aluminum	0x16CBA674
31	GoodType	Whales	Whales	0x16CBACC4
32	GoodType	Obsidian	Obsidian	0x16CBB314
33	GoodType	Wool	Wool	0x16CBB63C
34	GoodType	Coal	Coal	0x16CBBFB4
35	GoodType	Uranium	Uranium	0x16CBB964
36	GoodType	Titanium	Titanium	0x16CBBC8C
37	GoodType	Cattle	Cattle	0x223CB4CC
38	GoodType	Huskies	Huskies	0x223CBB1C
39	GoodType	Olive Oil	Olive Oil	0x223CB7F4
40	GoodType	Gypsum	Gypsum	0x223CBE44
41	GoodType	Beaver Pelts	Beaver Pelts	0x223CCAE4
42	GoodType	Gold	Gold	0x223CC494
43	GoodType	Rum	Rum	0x223CC16C
44	GoodType	Coffee	Coffee	0x223CC7BC
45	GoodType	Bananas	Bananas	0x223CAE7C
46	GoodType	Salmon	Salmon	0x223CB1A4
47	GoodType	Iron Ore	Iron Ore	0x0DA8BD44
48	GoodType	Maize	Maize	0x0DA8B0A4
49	GoodType	Incense	Incense	0x0DA8A0DC
50	UnitType	Citizen	CITIZENS	0x223B86C4
51	UnitType	Citizen	CITIZENSKOREAN	0x16CB0264
52	UnitType	Scholar	SCHOLAR	0x16CB084C
53	UnitType	Scholar	SCHOLARKOREAN	0x16CB0E34
54	UnitType	General	GENERAL	0x16AFB97C
55	UnitType	General	GENERALCTWE	0x16AFBF64
56	UnitType	General	GENERALCTWW	0x16AFC54C
57	UnitType	General	GENERALGERMAN	0x11436F14
58	UnitType	Spy	SPY	0x114374FC
59	UnitType	Caravan	CARAVAN	0x11437AE4
60	UnitType	Armed Caravan	ArmedCaravan	0x114380CC
61	UnitType	Merchant	MERCHANT	0x16AE386C
62	UnitType	Armed Merchant	MERCHANTDUTCH	0x16AE3E54
63	UnitType	Supply Wagon	SUPPLYWAGON	0x16AE443C
64	UnitType	Supply Wagon	SUPPLYWAGONAMER	0x16AE4A24
65	UnitType	Armed Supply Wagon	ARMEDSUPPLYWAGON	0x16AE500C
66	UnitType	Militia	MILITIA	0x16AE55F4
67	UnitType	Minuteman	MINUTEMAN	0x22598454
68	UnitType	Partisan	PARTISANS	0x22599064
69	UnitType	Scout	SCOUT	0x2259662C
70	UnitType	Scout	SCOUTKOREAN	0x22598A5C
71	UnitType	Explorer	EXPLORER	0x22596C34
72	UnitType	Explorer	EXPLORERKOREAN	0x22597E4C
73	UnitType	Commando	COMMANDO	0x2259723C
74	UnitType	Commando	COMMANDOSPANISH	0x22597844
75	UnitType	Special Forces	SPECIALFORCES	0x2259966C
76	UnitType	Special Forces	SPECIALFORCESSPANISH	0x22596024
77	UnitType	Elite Special Forces	ELITESPECIAL	0x225A0254
78	UnitType	Elite Special Forces	ELITESPECIALSPANISH	0x225A2684
79	UnitType	Takohs	IRQSCOUT	0x2259FC4C
80	UnitType	Akweks	IRQEXPLORER	0x2259F03C
81	UnitType	Okwari	IRQCOMMANDO	0x225A2C8C
82	UnitType	Slingers	SLINGERS	0x225A207C
83	UnitType	Javelineers	JAVELINEERS	0x225A085C
84	UnitType	Elite Javelineers	PELTASTS	0x2259F644
85	UnitType	Atl-Atls	ATLATL	0x225A1A74
86	UnitType	Royal Atl-Atls	ATLATLELITE	0x225A389C
87	UnitType	Xopilli Atl-Atls	XOPILLIATLATL	0x225A3294
88	UnitType	Balamob Slingers	BAMOBSLINGERS	0x225A3EA4
89	UnitType	Royal Balamob Slingers	BAMOBSLINGERSELITE	0x225A44AC
90	UnitType	Eagle Balamob Slingers	EAGLEBALSLINGERS	0x225A0E64
91	UnitType	Inti Clubmen	INTICLUBMEN	0x225A4AB4
