type_id	name_internal	name_display	type	job_time	res_time	tribe_mask	cat	cost0	cost1	cost2	cost3	cost4	cost5	preq0	preq1	preq2	from	where	upgrade	jump	obs	show0	show1	modified	grid_x	grid_y	obj_masks	attack	to_hit	attenuate	recharge	min_range	max_range	splash_area	splash_percent	ammo_per_att	proj_speed	hits	armor	domain	los	science_los	guy_spacing	x_spacing	y_spacing	abil	x_size	y_size	guy_radius	block_radius	big_radius	new_block_radius	new_big_radius	fly_high	fly_low	block_points	graft	special_upgrade	special_upgrade_cost	support0	support1	support_cost0	support_cost1	age	unit_flags	unit_flags2	mode	moves	turn_speed	role	carry	carry_size	military_level	research_premium_cost	research_premium_time	job_extra_time	mana	control_cost	progression	push_size	push_circles	target_size	squad_size	uber_size	crew_size	base_form
50	CITIZENS	Citizen	50	50	50	16711679	5	2	0	0	0	0	0	-1	-1	-1	-1	414	-1	-2	-2	-2	-2	0	0	0	4227108	40	0	0	30	0	0	0	100	1	0	40	0	0	2	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	0	-1	1	0	0	6273	2	0	25	536870912	262912	0	1	0	512	512	10	0	1	0	48	1	144	1	1	0	0
51	CITIZENSKOREAN	Citizen	51	50	50	65536	5	2	0	0	0	0	0	-1	-1	-1	-1	414	-1	-2	-2	-2	-2	0	0	0	4227108	40	0	0	30	0	0	0	100	1	0	40	0	0	2	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	50	-1	0	0	-1	1	0	0	6273	2	0	25	536870912	262912	0	1	0	512	512	10	0	1	0	48	1	144	1	1	0	0
52	SCHOLAR	Scholar	52	75	75	16711679	5	0	0	3	0	0	0	-1	-1	-1	-1	420	-1	-2	-2	-2	-2	0	0	0	4227108	30	0	0	30	0	0	0	100	0	0	50	0	0	2	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	2	-1	2	0	0	6273	2	0	24	536870912	262912	0	1	0	512	512	10	0	1	0	48	1	144	1	1	0	0
53	SCHOLARKOREAN	Scholar	53	75	75	65536	5	0	0	3	0	0	0	-1	-1	-1	-1	420	-1	-2	-2	-2	-2	0	0	0	4227108	30	0	0	30	0	0	0	100	0	0	50	0	0	2	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	52	-1	0	2	-1	2	0	0	6273	2	0	24	536870912	262912	0	1	0	512	512	10	0	1	0	48	1	144	1	1	0	0
54	GENERAL	General	54	300	300	16772543	4	0	0	8	0	8	0	552	-1	-1	-1	443	-1	-2	-2	-2	-2	0	0	0	36868	0	0	0	15	0	0	0	100	0	0	109	0	0	8	0	360	360	360	-1	3	3	48	48	48	1	1	0	0	8	-1	-1	0	4	2	20	20	1	6278	34	0	42	190887434	262400	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	1	0
55	GENERALCTWE	General	55	300	300	0	4	0	0	8	0	8	0	552	-1	-1	-1	443	-1	-2	-2	-2	-2	0	0	0	36868	0	0	0	15	0	0	0	100	0	0	109	0	0	8	0	360	360	360	-1	3	3	48	48	48	1	1	0	0	8	-1	-1	0	4	2	20	20	1	6278	0	0	42	190887434	262400	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	1	0
56	GENERALCTWW	General	56	300	300	0	4	0	0	8	0	8	0	552	-1	-1	-1	443	-1	-2	-2	-2	-2	0	0	0	36868	0	0	0	15	0	0	0	100	0	0	109	0	0	8	0	360	360	360	-1	3	3	48	48	48	1	1	0	0	8	-1	-1	0	4	2	20	20	1	6278	0	0	42	190887434	262400	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	1	0
57	GENERALGERMAN	General	57	300	300	4672	4	0	0	8	0	8	0	552	-1	-1	-1	443	-1	-2	-2	-2	-2	0	0	0	36868	0	0	0	15	0	0	0	100	0	0	109	0	0	8	0	360	360	360	-1	3	3	48	48	48	1	1	0	0	8	54	-1	0	4	2	20	20	1	6278	34	0	42	190887434	262400	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	1	0
58	SPY	Spy	58	225	225	16777215	4	0	0	5	0	5	0	552	545	-1	-1	443	-1	-2	-2	-2	-2	0	1	0	32804	0	0	0	30	0	0	0	100	0	100	15	0	0	8	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	4	2	10	10	1	22660	2	0	21	536870912	262400	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	0	0
59	CARAVAN	Caravan	59	156	156	12582911	5	1	3	0	0	0	0	-1	-1	-1	-1	436	-1	-2	-2	-2	-2	0	0	0	4231172	0	300	0	10	0	5	0	100	1	100	90	0	0	3	0	144	144	144	-1	4	4	48	48	48	1	1	0	0	8	-1	-1	0	0	1	10	5	0	2103426	8	0	26	286331149	262400	0	1	0	512	512	10	0	1	0	48	1	144	1	1	2	0
60	ArmedCaravan	Armed Caravan	60	156	156	4194304	5	1	3	0	0	0	0	-1	-1	-1	-1	436	-1	-2	-2	-2	-2	0	0	0	4231172	60	300	0	40	0	8	0	100	1	100	125	1	0	5	0	144	144	144	-1	4	4	48	48	48	1	1	0	0	8	59	-1	0	0	1	10	5	0	18880642	8	0	26	286331149	262400	0	1	0	512	512	10	0	1	0	48	1	144	1	1	1	0
61	MERCHANT	Merchant	61	156	156	12582911	5	0	3	1	0	0	0	-1	-1	-1	-1	436	-1	-2	-2	-2	-2	0	1	0	4231172	0	0	0	60	0	0	0	100	0	0	90	0	0	3	0	144	144	144	-1	3	3	96	96	96	2	2	0	0	12	-1	-1	0	1	2	10	10	0	6274	6	0	23	190887434	262400	0	2	0	512	512	10	0	1	0	96	1	144	1	1	1	0
62	MERCHANTDUTCH	Armed Merchant	62	156	156	4194304	5	0	3	1	0	0	0	-1	-1	-1	-1	436	-1	-2	-2	-2	-2	0	1	0	4231172	60	300	0	40	0	8	0	100	1	100	125	1	0	5	0	144	144	144	-1	3	3	96	96	96	2	2	0	0	12	61	-1	0	1	2	10	10	0	18880642	6	0	23	190887434	262400	0	2	0	512	512	10	0	1	0	96	1	144	1	1	2	0
63	SUPPLYWAGON	Supply Wagon	63	188	188	11534335	5	8	8	0	0	0	0	545	-1	-1	-1	430	-1	-2	-2	-2	-2	0	4	0	2097156	0	0	0	60	0	0	0	100	0	0	90	0	0	4	0	480	480	480	-1	4	4	96	96	96	2	2	0	0	12	-1	-1	0	1	0	40	40	2	4234	64	0	25	190887434	262400	0	4	0	512	512	10	500	1	0	288	2	144	1	1	2	0
64	SUPPLYWAGONAMER	Supply Wagon	64	188	188	1048576	5	8	8	0	0	0	0	545	-1	-1	-1	430	-1	-2	-2	-2	-2	0	4	0	2097156	0	0	0	60	0	0	0	100	0	0	90	0	0	4	0	480	480	480	-1	4	4	96	96	96	2	2	0	0	12	63	-1	0	1	0	40	40	2	4234	64	0	25	190887434	262400	0	4	0	512	512	10	500	1	0	288	2	144	1	1	2	0
65	ARMEDSUPPLYWAGON	Armed Supply Wagon	65	188	188	4194304	5	8	8	0	0	0	0	545	573	-1	-1	430	-1	-2	-2	-2	-2	0	4	0	2097152	60	300	0	40	0	8	0	100	1	100	125	1	0	5	0	480	480	480	-1	4	4	96	96	96	2	2	0	0	12	63	-1	0	1	0	40	40	2	18878602	64	0	25	190887434	262400	0	4	2	512	512	10	500	1	0	288	2	144	1	1	2	0
66	MILITIA	Militia	66	200	200	16777215	0	8	0	0	0	8	0	544	572	-1	-1	439	67	67	-2	-2	-2	0	0	0	163872	100	300	3	35	0	0	0	100	1	150	50	1	0	6	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	0	0	2	2	1	38913	2	0	24	286331149	1378305	0	1	1	256	256	10	0	1	0	48	1	144	1	1	0	0
67	MINUTEMAN	Minuteman	67	200	200	16777215	0	30	0	0	0	30	0	547	575	-1	66	439	68	68	-2	-2	-2	0	0	0	32864	190	300	3	35	0	8	0	100	1	350	65	2	0	8	0	144	144	144	-1	1	1	48	48	48	1	1	0	10	8	-1	-1	0	0	0	2	2	4	38913	2	0	24	286331149	1379328	0	1	4	256	256	10	0	1	0	48	1	144	1	1	0	0
68	PARTISANS	Partisan	68	200	200	16777215	0	60	0	0	0	60	0	549	577	-1	67	439	-1	-2	-2	-2	-2	0	0	0	32864	240	300	3	35	0	10	0	100	1	400	85	3	0	10	0	144	144	144	-1	1	1	48	48	48	1	1	0	50	8	-1	-1	0	0	0	2	2	6	301569	2	0	24	286331149	1379328	0	1	6	256	256	10	0	1	0	48	1	144	1	1	0	0
69	SCOUT	Scout	69	180	180	16449535	0	0	0	4	0	4	0	-1	-1	-1	-1	427	71	71	-2	-2	-2	0	4	0	33718308	0	300	0	25	0	3	0	100	1	100	50	0	0	4	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	2	4	10	10	0	6277	18	0	34	322122544	262416	0	1	0	512	512	10	500	1	0	48	1	144	1	1	1	0
70	SCOUTKOREAN	Scout	70	180	180	65536	0	0	0	4	0	4	0	-1	-1	-1	-1	427	-1	71	-2	-2	-2	0	4	0	33718308	0	300	0	25	0	3	0	100	1	100	50	0	0	4	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	69	-1	0	2	4	10	10	0	6277	18	0	34	322122544	262416	0	1	0	512	512	10	500	1	0	48	1	144	1	1	1	0
71	EXPLORER	Explorer	71	180	180	16449535	0	0	0	4	0	4	0	545	-1	-1	69	427	73	73	-2	-2	-2	0	4	0	33718308	0	300	0	25	0	4	0	100	1	100	70	0	0	6	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	2	4	10	10	2	268805	18	0	35	322122544	262416	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	1	0
72	EXPLORERKOREAN	Explorer	72	180	180	65536	0	0	0	4	0	4	0	545	-1	-1	69	427	-1	73	-2	-2	-2	0	4	0	33718308	0	300	0	25	0	4	0	100	1	100	70	0	0	6	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	71	-1	0	2	4	10	10	2	268805	18	0	35	322122544	262416	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	1	0
73	COMMANDO	Commando	73	180	180	16514559	0	0	0	4	0	4	0	548	-1	-1	71	427	75	75	-2	-2	-2	0	4	0	33587556	0	300	0	30	0	6	0	100	1	100	90	0	0	8	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	2	4	10	10	5	268805	18	0	37	286331149	262416	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	0	0
74	COMMANDOSPANISH	Commando	74	180	180	512	0	0	0	4	0	4	0	548	-1	-1	71	427	-1	75	-2	-2	-2	0	4	0	33587556	0	300	0	30	0	6	0	100	1	100	90	0	0	8	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	73	-1	0	2	4	10	10	5	268805	18	0	37	286331149	262416	0	1	0	512	512	10	1000	1	0	48	1	144	1	1	0	0
75	SPECIALFORCES	Special Forces	75	180	180	16776703	0	0	0	4	0	4	0	549	-1	-1	73	427	77	77	-2	-2	-2	0	4	0	33587556	0	300	0	25	0	7	0	100	1	100	110	0	0	10	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	2	4	10	10	6	268805	18	0	39	286331149	262416	0	1	0	512	512	10	1500	1	0	48	1	144	1	1	0	0
76	SPECIALFORCESSPANISH	Special Forces	76	180	180	512	0	0	0	4	0	4	0	549	-1	-1	73	427	-1	77	-2	-2	-2	0	4	0	33587556	0	300	0	25	0	7	0	100	1	100	110	0	0	10	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	75	-1	0	2	4	10	10	6	268805	18	0	39	286331149	262416	0	1	0	512	512	10	1500	1	0	48	1	144	1	1	0	0
77	ELITESPECIAL	Elite Special Forces	77	180	180	16776703	0	0	0	4	0	4	0	550	-1	-1	75	427	-1	-2	-2	-2	-2	0	4	0	33587556	0	300	0	20	0	9	0	100	1	100	130	0	0	12	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	2	4	10	10	7	268293	18	0	42	286331149	262416	0	1	0	512	512	10	2000	1	0	48	1	144	1	1	0	0
78	ELITESPECIALSPANISH	Elite Special Forces	78	180	180	512	0	0	0	4	0	4	0	550	-1	-1	75	427	-1	-2	-2	-2	-2	0	4	0	33587556	0	300	0	20	0	9	0	100	1	100	130	0	0	12	2	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	77	-1	0	2	4	10	10	7	268293	18	0	42	286331149	262416	0	1	0	512	512	10	2000	1	0	48	1	144	1	1	0	0
79	IRQSCOUT	Takohs	79	180	180	262144	0	0	0	4	0	4	0	-1	-1	-1	-1	427	80	80	-2	-2	-2	0	4	0	33718308	0	300	0	25	0	7	0	100	1	100	60	0	0	5	3	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	69	-1	0	2	4	10	10	0	17045637	18	0	35	286331149	262416	0	1	0	512	512	10	600	1	0	48	1	144	1	1	1	0
80	IRQEXPLORER	Akweks	80	180	180	262144	0	0	0	4	0	4	0	545	-1	-1	79	427	81	81	-2	-2	-2	0	4	0	33718308	0	300	0	25	0	7	0	100	1	100	80	0	0	7	3	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	71	-1	0	2	4	10	10	2	17046021	18	0	36	286331149	262416	0	1	0	512	512	10	1200	1	0	48	1	144	1	1	1	0
81	IRQCOMMANDO	Okwari	81	180	180	262144	0	0	0	4	0	4	0	547	-1	-1	80	427	75	75	-2	-2	-2	0	4	0	33587556	0	300	0	30	0	7	0	100	1	100	100	0	0	9	3	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	73	-1	0	2	4	10	10	4	17046021	18	0	38	286331149	262416	0	1	0	512	512	10	1500	1	0	48	1	144	1	1	0	0
82	SLINGERS	Slingers	82	150	150	16777204	0	4	4	0	0	0	0	-1	-1	-1	-1	427	83	83	-2	-2	-2	0	0	0	196640	100	300	0	33	0	6	0	100	1	150	85	1	0	8	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	1	0	1	1	0	6529	0	0	28	357913941	1379328	0	1	0	512	512	10	0	1	3	48	1	144	1	3	0	0
83	JAVELINEERS	Javelineers	83	150	150	16777200	0	4	4	0	0	0	0	544	572	-1	82	427	84	84	-2	-2	-2	0	0	0	196640	110	300	0	33	0	6	0	100	1	80	95	1	0	8	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	1	0	1	1	1	6913	0	0	29	357913941	1379328	0	1	1	512	512	10	0	1	3	48	1	144	1	3	0	0
84	PELTASTS	Elite Javelineers	84	150	150	16760816	0	4	4	0	0	0	0	545	573	-1	83	427	98	98	-2	-2	-2	0	0	0	196640	130	300	0	33	0	6	0	100	1	80	110	1	0	8	0	144	144	144	-1	1	1	48	48	48	1	1	0	0	8	-1	-1	0	1	0	1	1	2	6913	0	0	30	357913941	1379328	0	1	2	512	512	10	0	1	3	48	1	144	1	3	0	0
