va	size	name	type
00401000	37	kernel32_OutputDebugStringW_Thunk	void ()
00401025	37	kernel32_GetModuleFileNameW_Thunk	void ()
0040104a	37	kernel32_SetCurrentDirectoryW_Thunk	void ()
0040106f	37	kernel32_GetCurrentDirectoryW_Thunk	void ()
00401094	37	user32_MessageBoxW_Thunk	void ()
004010b9	37	kernel32_GetDiskFreeSpaceExW_Thunk	void ()
004010de	37	user32_SystemParametersInfoW_Thunk	void ()
00401103	37	advapi32_RegOpenKeyExW_Thunk	void ()
00401128	37	kernel32_OpenMutexW_Thunk	void ()
0040114d	37	kernel32_GetStartupInfoW_Thunk	void ()
00401172	37	kernel32_CreateMutexW_Thunk	void ()
00401197	37	kernel32_CreateProcessW_Thunk	void ()
004011bc	37	kernel32_CreateFileW_Thunk	void ()
004011e1	37	kernel32_WideCharToMultiByte_Thunk	void ()
00401206	37	kernel32_FindFirstFileW_Thunk	void ()
0040122b	37	kernel32_FindNextFileW_Thunk	void ()
00401250	37	shell32_ShellExecuteW_Thunk	void ()
00401275	37	user32_MapVirtualKeyW_Thunk	void ()
0040129a	37	kernel32_GetFileAttributesW_Thunk	void ()
004012bf	37	kernel32_RemoveDirectoryW_Thunk	void ()
004012e4	37	kernel32_DeleteFileW_Thunk	void ()
00401309	37	user32_EnableWindow_Thunk	void ()
0040132e	37	kernel32_MultiByteToWideChar_Thunk	void ()
00401353	37	advapi32_IsTextUnicode_Thunk	void ()
00401378	37	kernel32_GetProcAddress_Thunk	void ()
0040139d	37	kernel32_LoadLibraryW_Thunk	void ()
004013c2	125	GetOrdinal	unsigned short (char*, unsigned ...
0040143f	58	ImageEntryToDataC	void* (void*, unsigned short, un...
00401479	35	strcmpiC	int (char*, char*)
0040149c	63	strncpyC	char* (char*, const char*, unsig...
004014db	100	GetProcAddressInternal	int ()* (HINSTANCE__*, char*)
0040153f	155	driveandpathC	void (const char*, char*, char*)
004015da	707	LoadGodot	HINSTANCE__* ()
0040189d	339	ResolveThunk	void (char*, char*, int ()**, in...
004019f0	13	GodotFailCreateDirectoryW	int (const unsigned short*, _SEC...
004019f0	13	GodotFailFindNextFileW	int (void*, _WIN32_FIND_DATAW*)
004019f0	13	GodotFailGetCurrentDirectoryW	unsigned long (unsigned long, un...
004019f0	13	GodotFailGetTempPathW	unsigned long (unsigned long, un...
004019f0	13	GodotFailMoveFileW	int (const unsigned short*, cons...
004019f0	13	GodotFailSetFileAttributesW	int (const unsigned short*, unsi...
004019f0	13	GodotFailMapVirtualKeyW	unsigned (unsigned, unsigned)
004019f0	13	GodotFailGetUserNameW	int (unsigned short*, unsigned l...
004019fd	14	GodotFailCreateEventW	void* (_SECURITY_ATTRIBUTES*, in...
00401a0b	14	GodotFailCreateFileW	void* (const unsigned short*, un...
00401a19	14	GodotFailCreateFileMappingW	void* (void*, _SECURITY_ATTRIBUT...
00401a27	14	GodotFailCreateMutexW	void* (_SECURITY_ATTRIBUTES*, in...
00401a27	14	GodotFailOpenMutexW	void* (unsigned long, int, const...
00401a35	13	GodotFailCreateProcessW	int (const unsigned short*, unsi...
00401a42	13	GodotFailDeleteFileW	int (const unsigned short*)
00401a42	13	GodotFailGetFileAttributesW	unsigned long (const unsigned sh...
00401a42	13	GodotFailGetModuleHandleW	HINSTANCE__* (const unsigned sho...
00401a42	13	GodotFailLoadLibraryW	HINSTANCE__* (const unsigned sho...
00401a42	13	GodotFailRemoveDirectoryW	int (const unsigned short*)
00401a42	13	GodotFailSetCurrentDirectoryW	int (const unsigned short*)
00401a4f	14	GodotFailFindFirstFileW	void* (const unsigned short*, _W...
00401a5d	13	GodotFailGetPrivateProfileStringW	unsigned long (const unsigned sh...
00401a5d	13	GodotFailShellExecuteW	HINSTANCE__* (HWND__*, const uns...
00401a6a	5	GodotFailGetProcAddress	int ()* (HINSTANCE__*, const cha...
00401a6f	46	GodotFailMultiByteToWideChar	int (unsigned, unsigned long, co...
00401a9d	11	GodotFailGetStartupInfoW	void (_STARTUPINFOW*)
00401a9d	11	GodotFailOutputDebugStringW	void (const unsigned short*)
00401aa8	46	GodotFailWideCharToMultiByte	int (unsigned, unsigned long, co...
